feature,question,rel_question,labels
Massage oil massage oil,Where I can buy good oil for massage?,is there any place i can find scented massage oils in qatar?,PerfectMatch
Massage oil Philipino Massage center,Where I can buy good oil for massage?,Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....,Relevant
Massage oil Best place for massage,Where I can buy good oil for massage?,Tell me; where is the best place to go for a massage? Mind you; I don't want to spend 1000QR for it... (Guys; please don't come up with answers that youåÊwould gladly do it yourself; plz...),Irrelevant
Massage oil body massage,Where I can buy good oil for massage?,hi there; i can see a lot of massage center here; but i dont which one is better. can someone help me which massage center is good...and how much will it cost me? thanks,Relevant
Massage oil What attracts you more ?,Where I can buy good oil for massage?,What attracts you more ?,Irrelevant
Massage oil You have got to be joking.....Seen in a shop in Downtown Manama !,Where I can buy good oil for massage?,[img_assist|nid=54388|title=Placenta cream ????|desc=|link=none|align=left|width=440|height=388] What the hell do you do with Placenta cream ??????,Irrelevant
Massage oil Blackheads,Where I can buy good oil for massage?,Any suggestions on how to get rid of them??,Irrelevant
Massage oil Where to get Tea Tree Oil,Where I can buy good oil for massage?,Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you,PerfectMatch
"Massage oil ""very strong migraine pain what to do ?",Where I can buy good oil for massage?,"plz help we are living in hell for 24 days he tried all kind of medicine that was advised to him we tried years before """"hugama"""" ; acupuncture deferent oils ; teas if any one have any idea or experience with this kind of sickness plz give me advise""",Irrelevant
Massage oil --Garlic Oil--,Where I can buy good oil for massage?,Can someone please tell me where can i find Garlic Oil in Qatar? i heard it is good for hairfall. dont know if its true or not but really want to try it. So help me guys!,Irrelevant
Can i exptend my family visit visa after 6 month?? Convert Tourist visa to Family visit visa,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,Relevant
Can i exptend my family visit visa after 6 month?? Maximum period of a Visit Visa?,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,PerfectMatch
